date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:49	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-66278447-cfd574d673812869;gz%22	https://fortunearchitects.github.io/robots.txt		(from )
23:51:49	15787/15787	---M-Z	200	added ('OK')	text/html	etag:%223dab-6644a9a9-f73b4717837600f;gz%22	https://fortunearchitects.github.io/	C:/Kaustubh/aa/fortunearchitects.github.io/index.html	(from )
23:51:49	80510/80510	---M-Z	200	added ('OK')	text/css	etag:W/%2213a7e-QiURQ+eNx6A7vhQP2MlHTcIxcFM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/bootstrap-icons.css	C:/Kaustubh/aa/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/bootstrap-icons.css	(from https://fortunearchitects.github.io/)
23:51:49	91860/91860	---M--	200	added ('OK')	image/png	etag:%22166d4-66432c81-6da588307e535c57;;;%22	https://fortunearchitects.github.io/images/favicon.png	C:/Kaustubh/aa/fortunearchitects.github.io/images/favicon.png	(from https://fortunearchitects.github.io/)
23:51:50	160346/160346	---M-Z	200	added ('OK')	text/css	etag:%222725a-66432c83-8cc8355bfb0c2a8a;gz%22	https://fortunearchitects.github.io/plugins/bootstrap/bootstrap.min.css	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/bootstrap/bootstrap.min.css	(from https://fortunearchitects.github.io/)
23:51:50	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-66432c83-53fc8061fe6592c0;gz%22	https://fortunearchitects.github.io/plugins/Ionicons/css/ionicons.min.css	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/Ionicons/css/ionicons.min.css	(from https://fortunearchitects.github.io/)
23:51:50	23848/23848	---M-Z	200	added ('OK')	text/css	etag:%225d28-66432c83-b29b4929f9bd402c;gz%22	https://fortunearchitects.github.io/plugins/animate-css/animate.css	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/animate-css/animate.css	(from https://fortunearchitects.github.io/)
23:51:50	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-66432c83-d439f16a39738d2d;gz%22	https://fortunearchitects.github.io/plugins/magnific-popup/magnific-popup.css	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/magnific-popup/magnific-popup.css	(from https://fortunearchitects.github.io/)
23:51:51	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-66432c83-90a3e30a4349bb2;gz%22	https://fortunearchitects.github.io/plugins/slick/slick.css	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/slick/slick.css	(from https://fortunearchitects.github.io/)
23:51:51	49979/49979	---M-Z	200	added ('OK')	text/css	etag:%22c33b-66432c81-f9ccf4243bb48c4e;gz%22	https://fortunearchitects.github.io/css/style.css	C:/Kaustubh/aa/fortunearchitects.github.io/css/style.css	(from https://fortunearchitects.github.io/)
23:51:51	15787/15787	---M-Z	200	added ('OK')	text/html	etag:%223dab-6644a9a9-f73b4717837600f;gz%22	https://fortunearchitects.github.io/index.html	C:/Kaustubh/aa/fortunearchitects.github.io/index-2.html	(from https://fortunearchitects.github.io/)
23:51:51	117606/117606	---M--	200	added ('OK')	image/png	etag:%221cb66-66432c81-db3c338fdccf079e;;;%22	https://fortunearchitects.github.io/images/logo.png	C:/Kaustubh/aa/fortunearchitects.github.io/images/logo.png	(from https://fortunearchitects.github.io/)
23:51:51	10363/10363	---M-Z	200	added ('OK')	text/html	etag:%22287b-66432c83-77cfd02b733520a6;gz%22	https://fortunearchitects.github.io/portfolio.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio.html	(from https://fortunearchitects.github.io/)
23:51:52	10347/10347	---M-Z	200	added ('OK')	text/html	etag:%22286b-66432c83-5dd812d8fc5e0d7d;gz%22	https://fortunearchitects.github.io/portfolio-single.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio-single.html	(from https://fortunearchitects.github.io/)
23:51:52	9766/9766	---M-Z	200	added ('OK')	text/html	etag:%222626-66432c83-c7be4ed1a8457e6;gz%22	https://fortunearchitects.github.io/portfolio-single1.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio-single1.html	(from https://fortunearchitects.github.io/)
